Date,Longitude,Latitude,Depth,Magnitude
11/10/2022 16:34:44,38.796,38.3,8.31,2
11/10/2022 16:12:22,36.223,36.117,7,2
11/10/2022 15:52:55,36.293,37.324,7.02,2.9
11/10/2022 15:48:46,36.291,37.309,7,5.1
10/10/2022 13:07:30,36.268,37.369,10.68,3.8
07/10/2022 13:16:14,36.591,36.696,6.66,2.5
05/10/2022 13:38:45,38.603,37.435,12.2,2.3
05/10/2022 08:28:41,37.081,36.825,8.38,2.2
05/10/2022 05:30:37,38.694,38.237,11.68,2.2
05/10/2022 04:15:21,38.689,38.244,11.12,2.4
05/10/2022 04:02:56,38.692,38.241,12.65,3.5
04/10/2022 07:23:10,38.578,38.169,7,2.8
04/10/2022 05:36:23,38.8008,37.0714,7,2.5
01/10/2022 20:55:41,38.873,38.242,7,2.1
01/10/2022 06:01:38,37.742,36.568,19.96,2.7
01/10/2022 05:24:37,37.775,36.512,9.26,2.6
01/10/2022 05:22:37,37.782,36.517,8.94,2.9
30/09/2022 18:26:49,38.813,38.289,7,2.3
30/09/2022 16:18:30,36.0422,36.9344,10.97,3.4
30/09/2022 09:59:42,39.257,38.443,7,2.5
30/09/2022 03:46:32,38.366,38.072,7.03,3.2
28/09/2022 23:10:11,35.988,37.035,7.02,2.2
28/09/2022 22:28:07,39.009,38.382,7,2.1
28/09/2022 14:08:22,36.024,37.028,4.89,2.5
28/09/2022 08:51:36,38.462,38.105,7,2.4
28/09/2022 06:57:14,37.205,37.419,11.19,2.1
28/09/2022 05:34:12,39.223,38.423,7.05,2.4
27/09/2022 19:53:43,39.076,38.35,7,2.2
26/09/2022 16:02:20,38.534,38.164,7,2
25/09/2022 22:03:30,37.216,37.422,9.21,2
24/09/2022 08:22:40,36.3728,37.2235,7.08,3.2
22/09/2022 03:55:04,38.7992,38.2428,7,2.1
21/09/2022 22:53:20,39.1028,38.3706,7.98,3.2
21/09/2022 22:13:42,39.0266,38.4153,15.52,2.6
21/09/2022 16:22:54,35.6525,37.0195,17.69,2.9
20/09/2022 23:36:42,35.9863,36.364,7.01,2.6
20/09/2022 13:15:56,38.4836,36.593,7,2
20/09/2022 11:01:03,36.3766,37.2336,8.36,2
20/09/2022 10:46:55,36.4113,37.2266,7,2.1
20/09/2022 04:58:52,38.805,38.2846,5.22,2
19/09/2022 18:53:50,39.102,38.3718,12.15,2.3
18/09/2022 01:00:13,38.8113,38.2828,6.69,2
17/09/2022 14:14:50,36.2753,35.6938,34.58,2.5
17/09/2022 13:39:26,38.6171,38.2116,7.02,2.3
17/09/2022 07:09:24,39.3066,38.4738,7.99,2.3
14/09/2022 16:51:19,36.983,37.458,5.1,2.6
13/09/2022 13:55:51,36.9781,38.0045,7.2,2.3
13/09/2022 10:24:16,39.3931,38.4511,7.85,2.2
13/09/2022 03:03:41,38.7406,38.2926,13.16,2
10/09/2022 23:21:21,36.0761,36.1446,7.04,2.3
10/09/2022 19:31:04,38.808,38.2506,6.61,2
10/09/2022 19:30:16,38.8208,38.2513,4.26,2.8
