Date,Longitude,Latitude,Depth,Magnitude
06/02/2023 14:10:10,37.467,38.003,7.17,4.7
06/02/2023 14:04:48,36.471,37.976,2.85,4.4
06/02/2023 14:03:07,37.768,38.076,7.02,4.1
06/02/2023 13:58:48,36.633,38.011,6.3,4.2
06/02/2023 13:49:05,36.896,37.143,6.1,3.5
06/02/2023 13:44:49,37.555,38.007,8.76,5.1
06/02/2023 13:39:23,37.628,38.037,7.2,5.3
06/02/2023 13:36:18,37.19,37.411,12.43,3.6
06/02/2023 13:36:09,36.178,36.364,7,4
06/02/2023 13:33:16,37.735,37.733,7.02,4.1
06/02/2023 13:28:49,37.804,38.142,7.06,3.8
06/02/2023 13:25:22,38.39,38.073,7.02,3.6
06/02/2023 13:17:42,36.591,38.084,3.94,5.2
06/02/2023 13:16:37,37.877,38.135,6.96,4
06/02/2023 13:13:59,38.153,37.975,6.97,4.3
06/02/2023 13:03:15,37.475,37.979,6.98,4.3
06/02/2023 13:00:13,38.194,38.337,7.06,4.3
06/02/2023 12:58:45,36.621,37.975,6.95,4.1
06/02/2023 12:55:45,36.609,38.023,6.95,4.2
06/02/2023 12:54:40,36.722,38.06,7.02,4.6
06/02/2023 12:52:48,36.983,37.492,7,3.9
06/02/2023 12:47:59,36.986,38.137,12.18,4.3
06/02/2023 12:45:20,36.476,38,7.11,4.3
06/02/2023 12:39:15,38.201,38.247,7,4.4
06/02/2023 12:36:44,36.475,38.025,7.1,4.8
06/02/2023 12:36:35,38.323,38.051,9.92,4.6
06/02/2023 12:34:41,38.234,38.251,7.11,4.8
06/02/2023 12:32:46,38.184,37.96,7.17,4.3
06/02/2023 12:28:38,38.457,38.094,7.01,4.1
06/02/2023 12:27:47,36.913,37.186,6.77,3.7
06/02/2023 12:21:18,36.435,38.027,6.96,4.5
06/02/2023 12:19:10,37.8,38.017,8.52,3.8
06/02/2023 12:16:27,36.932,37.205,7,3.5
06/02/2023 12:13:45,37.483,37.988,7,5.1
06/02/2023 12:13:13,37.726,37.951,7,4.1
06/02/2023 12:11:01,38.352,38.061,7,3.9
06/02/2023 12:02:11,36.478,38.071,17.04,5.9
06/02/2023 12:00:44,37.85,38.14,6.98,4.7
06/02/2023 11:58:35,37.674,38.033,5.51,4.8
06/02/2023 11:55:57,36.613,37.992,7.36,4.4
06/02/2023 11:50:05,36.501,38.037,15.14,4.4
06/02/2023 11:49:37,36.922,37.664,1.09,3.8
06/02/2023 11:48:51,38.012,38.224,7.53,3.6
06/02/2023 11:44:05,38.149,38.259,6.59,4.7
06/02/2023 11:43:50,37.094,37.341,6.81,3.8
06/02/2023 11:39:41,36.529,38.052,7.03,4.8
06/02/2023 11:35:26,37.504,38.005,7.48,4.5
06/02/2023 11:34:17,37.739,38.07,7,4
06/02/2023 11:30:42,38.067,38.255,6.52,4.4
06/02/2023 11:27:58,38.272,38.057,7.02,4.4
06/02/2023 11:25:52,36.717,37.179,7,3.9
06/02/2023 11:21:53,37.477,37.749,7,3.8
06/02/2023 11:20:21,37.867,38.174,6.81,4.3
06/02/2023 11:16:42,36.387,37.883,5.87,4.4
06/02/2023 11:13:45,37.723,37.655,7,3.8
06/02/2023 11:11:39,37.392,38.012,8.61,4.8
06/02/2023 11:05:35,36.571,38.108,5.35,4.8
06/02/2023 11:04:36,36.816,38.103,3.26,4.4
06/02/2023 11:01:35,37.419,37.976,7.01,4.5
06/02/2023 11:00:52,38.019,38.133,7.55,4.4
06/02/2023 10:56:24,37.625,38.021,7,4.6
06/02/2023 10:55:04,38.296,38.301,6.83,4.6
06/02/2023 10:54:37,36.419,37.981,7.07,4.4
06/02/2023 10:51:30,38.151,38.305,10.4,5.7
06/02/2023 10:46:56,36.823,38.095,6.98,4.7
06/02/2023 10:43:25,37.157,38.086,7,4.3
06/02/2023 10:42:39,38.06,38.219,14.65,4.5
06/02/2023 10:41:13,36.433,37.991,6.99,4.4
06/02/2023 10:38:56,37.636,37.978,7.3,4.7
06/02/2023 10:35:57,37.92,38.172,11.28,5.9
06/02/2023 10:34:48,37.433,37.989,7.02,4.9
06/02/2023 10:33:42,37.856,38.126,6.92,4.9
06/02/2023 10:32:08,37.241,38.064,10.93,5.5
06/02/2023 10:26:46,38.271,38.332,6.89,5.8
06/02/2023 10:24:47,37.239,38.089,7,7.6
06/02/2023 10:21:38,37.372,37.605,5.3,3.6
06/02/2023 10:14:56,37.366,37.59,7,3.7
06/02/2023 10:12:14,38.404,38.09,5.48,4.3
06/02/2023 10:07:31,35.302,35.424,7.08,4.6
06/02/2023 10:01:28,36.408,36.619,7,3.7
06/02/2023 09:58:27,36.645,37.091,7,3.7
06/02/2023 09:57:18,36.934,37.108,5.04,3.9
06/02/2023 09:54:21,37.652,37.8,7,4
06/02/2023 09:50:22,37.125,37.65,7.29,3.5
06/02/2023 09:48:43,39.515,38.87,7,4.2
06/02/2023 09:43:51,38.743,38.276,16.23,3.9
06/02/2023 09:36:16,36.888,37.251,13.29,4.7
06/02/2023 09:35:58,38.046,37.524,6.94,3.6
06/02/2023 09:23:44,36.431,36.974,8.4,4.6
06/02/2023 09:21:00,38.132,38.035,7,4.4
06/02/2023 09:14:39,38.442,38.078,7,3.6
06/02/2023 09:11:43,36.848,37.371,6.97,3.8
06/02/2023 09:08:43,37.685,37.84,7,3.5
06/02/2023 09:05:52,37.065,37.476,8.48,4
06/02/2023 09:01:35,36.426,36.639,5.17,3.6
06/02/2023 08:58:36,38.31,38.03,7.85,4.5
06/02/2023 08:52:37,37.155,37.518,7,4.6
06/02/2023 08:47:01,36.118,36.708,7,3.8
06/02/2023 08:45:33,37.151,37.391,9.09,4
06/02/2023 08:44:41,38.433,38.134,7.15,3.5
06/02/2023 08:40:19,38.307,38.078,7.95,3.8
06/02/2023 08:25:50,37.034,37.186,7.04,3.8
06/02/2023 08:21:32,37.417,37.8,7.16,3.6
06/02/2023 08:08:39,36.994,37.238,12.27,3.8
06/02/2023 08:04:41,37.671,37.83,7.05,3.5
06/02/2023 08:02:13,38.002,37.892,15.5,4.5
06/02/2023 07:47:35,38.127,37.978,7.02,3.5
06/02/2023 07:43:09,37.838,37.947,7,3.7
06/02/2023 07:41:12,37.946,37.935,7.69,4.2
06/02/2023 07:38:44,36.937,37.139,7,3.8
06/02/2023 07:35:36,37.075,37.331,6.32,3.9
06/02/2023 07:33:59,37.116,37.378,12.58,3.6
06/02/2023 07:32:34,38.186,37.993,7,3.6
06/02/2023 07:31:02,37.186,37.341,7,4.1
06/02/2023 07:26:57,38.299,38.109,6.37,3.7
06/02/2023 07:25:51,37.205,37.417,6.67,4.2
06/02/2023 07:21:05,37.155,37.536,7,4
06/02/2023 07:19:28,38.002,37.919,6.98,3.8
06/02/2023 07:12:11,37.069,37.301,7.26,3.8
06/02/2023 07:08:31,36.425,36.639,7,4.4
06/02/2023 07:04:07,37.176,37.506,6.92,4
