Date,Longitude,Latitude,Depth,Magnitude
30/05/2023 20:09:31,38.176,38.257,7,3.6
30/05/2023 12:05:33,36.291,37.894,7,3.9
30/05/2023 11:20:32,37.545,38.454,6.97,3.9
30/05/2023 09:05:15,35.356,37.694,10.55,3.5
29/05/2023 06:47:02,35.852,36.151,17.33,3.7
29/05/2023 02:51:59,37.212,38.288,7,3.6
28/05/2023 05:51:19,36.897,37.395,6.74,3.6
27/05/2023 21:36:05,36.303,37.904,10.09,3.9
27/05/2023 03:45:22,37.699,37.953,7.01,3.5
26/05/2023 19:05:10,37.418,38.336,6.99,3.7
26/05/2023 12:32:30,36.309,37.928,12.53,3.9
25/05/2023 23:35:39,35.562,35.809,6.31,3.5
25/05/2023 20:16:36,36.286,37.905,7.02,3.5
25/05/2023 19:59:06,36.289,37.919,7.17,4
25/05/2023 15:02:05,38.589,38.122,6.96,4.1
25/05/2023 10:47:01,35.554,35.969,23.81,3.5
25/05/2023 07:21:33,35.436,35.939,23.61,3.7
24/05/2023 21:11:49,37.819,38.296,11.85,3.6
23/05/2023 19:30:12,36.869,37.206,4.54,3.6
23/05/2023 01:12:46,36.297,37.918,7,4.2
22/05/2023 23:57:44,37.038,38.134,7.02,3.7
22/05/2023 21:47:49,36.298,37.906,7.01,3.5
22/05/2023 21:32:51,38.153,38.261,7,3.5
22/05/2023 16:42:58,36.269,37.876,7,4.5
22/05/2023 16:06:58,36.302,37.932,7,4.7
22/05/2023 07:13:22,37.131,37.505,13.16,3.7
21/05/2023 20:16:22,36.223,37.881,7,4
21/05/2023 18:56:16,36.389,37.787,8.07,3.8
21/05/2023 16:57:27,36.201,37.911,7,3.7
21/05/2023 15:51:11,39.24,37.276,13.23,3.5
21/05/2023 13:41:42,36.271,37.909,6.75,3.7
21/05/2023 12:46:13,36.237,37.889,6.67,4.9
21/05/2023 01:40:02,36.277,37.895,7,3.5
20/05/2023 09:16:01,38.603,38.162,7.1,3.5
20/05/2023 03:03:30,36.071,36.224,6.85,3.7
20/05/2023 00:55:24,38.124,38.172,6.99,3.9
19/05/2023 08:23:36,37.872,38.312,12.56,4.1
19/05/2023 03:14:41,37.673,38.046,12.21,3.5
15/05/2023 10:58:12,37.639,38.015,6.98,3.7
14/05/2023 16:30:33,37.624,38.026,7,3.6
14/05/2023 12:06:09,36.226,37.868,7.42,3.9
13/05/2023 19:54:45,38.587,38.151,7.47,4
13/05/2023 18:02:59,36.264,37.889,10.4,3.6
13/05/2023 13:53:15,36.56,38.04,7,3.7
12/05/2023 22:12:47,35.372,37.607,5.87,3.8
12/05/2023 21:58:04,36.783,37.275,7,3.7
12/05/2023 21:43:11,37.631,37.927,7,3.5
12/05/2023 08:36:24,36.222,37.839,7.02,4.3
12/05/2023 08:33:21,36.254,37.874,7,4.5
11/05/2023 14:57:04,36.589,38.066,11.56,4
10/05/2023 18:39:36,36.652,38.147,6.23,3.6
10/05/2023 03:47:07,37.494,37.983,6.24,3.8
09/05/2023 03:52:15,37.754,34.88,12.66,4.4
09/05/2023 03:11:30,36.741,37.275,7,3.9
08/05/2023 20:20:33,38.403,38.095,8.64,4.6
08/05/2023 13:02:09,37.103,37.414,7.84,3.5
08/05/2023 09:30:56,37.761,35.043,5.98,3.6
08/05/2023 09:24:53,37.683,34.648,5.92,4.3
07/05/2023 23:16:58,38.412,38.104,10.64,3.7
07/05/2023 08:36:10,36.301,36.426,7.44,4.7
07/05/2023 02:26:18,37.786,35.174,3.06,3.8
06/05/2023 12:29:25,36.588,37.836,10.17,4.1
05/05/2023 16:48:34,36.373,37.985,7,3.5
05/05/2023 14:52:28,36.333,37.977,7.55,4.6
05/05/2023 13:45:01,35.952,36.249,16.01,3.5
05/05/2023 11:57:59,38.452,38.089,7,3.6
05/05/2023 08:09:44,36.237,37.892,16.49,3.5
04/05/2023 06:26:13,36.587,38.075,7.11,3.6
03/05/2023 17:22:15,36.572,38.073,6.83,4.1
03/05/2023 17:16:38,36.569,38.069,7,5
03/05/2023 06:20:52,35.531,37.606,13.13,4.3
01/05/2023 21:35:58,38.593,38.138,5.44,4.4
01/05/2023 14:30:53,36.369,37.969,7.25,3.6
